"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что сгенерированная строка соответствует всем условиям.","1","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"","148","Test breeds limit filter","tests.homework_test_data","Sat Sep 19 21:28:13 UTC 2026","passed","Sat Sep 19 21:28:13 UTC 2026","TestBreeds","homework_test_data","",""
"Формат 5: словарь.","142","Test breeds as dict","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestDataTypes","homework_test_data","",""
"Проверяет, что курс валюты не опускался ниже заданного значения за последний год. Использует parametrize и XML-запросы к ЦБ РФ.","973","Currency EUR did not drop below 60.0","tests.homework_test_data","Sat Sep 19 21:28:14 UTC 2026","passed","Sat Sep 19 21:28:15 UTC 2026","TestCurrencyRates","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","0","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"Проверяет, что курс валюты не опускался ниже заданного значения за последний год. Использует parametrize и XML-запросы к ЦБ РФ.","515","Currency AUD did not drop below 30.0","tests.homework_test_data","Sat Sep 19 21:28:15 UTC 2026","passed","Sat Sep 19 21:28:15 UTC 2026","TestCurrencyRates","homework_test_data","",""
"Формат 3: JSON (парсим ответ как JSON).","102","Test breeds as JSON","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestDataTypes","homework_test_data","",""
"Способ 1: читаем имена из файла.","1","Names from file: 100 names, each >= 2 words","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestNamesGenerator","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","1","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"Формат 2: число (количество пород, limit).","130","Test breeds as number","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestDataTypes","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","0","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"Формат 4: dataclass.","109","Test breeds as dataclass","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestDataTypes","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","0","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
"Проверяет, что курс валюты не опускался ниже заданного значения за последний год. Использует parametrize и XML-запросы к ЦБ РФ.","515","Currency AZN did not drop below 30.0","tests.homework_test_data","Sat Sep 19 21:28:15 UTC 2026","passed","Sat Sep 19 21:28:16 UTC 2026","TestCurrencyRates","homework_test_data","",""
"Проверяет, что сгенерированная строка соответствует всем условиям.","1","Generated string meets all conditions","tests.homework_test_data","Sat Sep 19 21:28:17 UTC 2026","passed","Sat Sep 19 21:28:17 UTC 2026","TestStringGenerator","homework_test_data","",""
